iter	Passed	Remaining
414	2876	66444
415	2882	66418
416	2889	66413
417	2896	66391
418	2902	66372
419	2909	66359
420	2915	66342
421	2921	66315
422	2928	66306
423	2934	66278
424	2940	66245
425	2947	66234
426	2953	66215
427	2959	66181
428	2965	66166
429	2972	66150
430	2979	66144
431	2985	66128
432	2992	66119
433	2999	66109
434	3005	66095
435	3011	66067
436	3018	66044
437	3024	66022
438	3030	65996
439	3036	65968
440	3042	65952
441	3048	65929
442	3054	65904
443	3061	65891
444	3068	65876
445	3074	65869
446	3081	65857
447	3087	65825
448	3093	65806
449	3099	65780
450	3106	65776
451	3112	65755
452	3118	65732
453	3125	65717
454	3132	65709
455	3139	65704
456	3145	65687
457	3151	65664
458	3157	65633
459	3164	65634
460	3171	65624
461	3178	65610
462	3184	65603
463	3191	65581
464	3196	65553
465	3203	65543
466	3209	65516
467	3216	65504
468	3222	65489
469	3229	65480
470	3236	65473
471	3242	65444
472	3248	65432
473	3254	65409
474	3261	65392
475	3268	65390
476	3274	65368
477	3280	65348
478	3286	65322
479	3293	65314
480	3299	65306
481	3306	65293
482	3313	65287
483	3319	65265
484	3325	65242
485	3332	65229
486	3338	65207
487	3344	65190
488	3350	65164
489	3356	65144
490	3363	65132
491	3369	65119
492	3376	65120
493	3383	65107
494	3390	65102
495	3397	65094
496	3404	65090
497	3411	65087
498	3418	65091
499	3425	65083
500	3432	65073
501	3439	65072
502	3445	65054
503	3451	65039
504	3458	65026
505	3465	65017
506	3471	65008
507	3478	64990
508	3484	64977
509	3490	64949
510	3496	64932
511	3503	64915
512	3508	64888
513	3515	64878
514	3521	64861
515	3528	64854
516	3534	64834
517	3540	64817
518	3546	64791
519	3552	64772
520	3559	64762
521	3566	64757
522	3572	64742
523	3579	64732
524	3586	64722
525	3592	64714
526	3599	64710
527	3606	64694
528	3612	64671
529	3619	64664
530	3625	64650
531	3631	64626
532	3637	64614
533	3643	64588
534	3649	64572
535	3656	64560
536	3662	64545
537	3668	64523
538	3675	64508
539	3681	64492
540	3688	64482
541	3695	64486
542	3701	64471
543	3708	64458
544	3714	64436
545	3720	64415
546	3726	64407
547	3733	64390
548	3738	64365
549	3745	64351
550	3751	64329
551	3757	64310
552	3763	64295
553	3769	64275
554	3776	64264
555	3783	64261
556	3790	64254
557	3795	64227
558	3801	64209
559	3807	64187
560	3813	64164
561	3820	64155
562	3826	64140
563	3832	64117
564	3838	64102
565	3844	64083
566	3850	64059
567	3856	64045
568	3863	64034
569	3870	64029
570	3876	64006
571	3882	63989
572	3889	63984
573	3896	63984
574	3904	63992
575	3910	63985
576	3917	63972
577	3923	63956
578	3929	63937
579	3935	63921
580	3942	63914
581	3948	63902
582	3955	63884
583	3960	63863
584	3966	63838
585	3972	63825
586	3979	63814
587	3985	63797
588	3991	63774
589	3997	63757
